ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Psychology as a Science,,FOUND
2,Scientific Method in Psychology,1,FOUND
3,Nature vs. Nurture,1,BIO
4,Heredity and Behavior,3,BIO
5,Twin Studies,4,BIO
6,Family Studies,4,BIO
7,Adoption Studies,4,BIO
8,Evolutionary Perspective,3|4,BIO
9,Natural Selection,8,BIO
10,Central Nervous System,1,BIO
11,Peripheral Nervous System,10,BIO
12,Autonomic Nervous System,11,BIO
13,Sympathetic Nervous System,12,BIO
14,Parasympathetic Nervous System,12,BIO
15,Somatic Nervous System,11,BIO
16,Spinal Cord,10,BIO
17,Reflex Arc,16|20|21|22,BIO
18,Neuron Structure,10,BIO
19,Glial Cells,18,BIO
20,Sensory Neurons,18,BIO
21,Motor Neurons,18,BIO
22,Interneurons,18,BIO
23,Neural Transmission,18|24,CHEM
24,All-or-None Principle,18,CHEM
25,Resting Potential,18|23,CHEM
26,Depolarization,25,CHEM
27,Action Potential,26,CHEM
28,Refractory Period,27,CHEM
29,Reuptake,27|31,CHEM
30,Synaptic Threshold,24|25,CHEM
31,Neurotransmitters,23|27,CHEM
32,Dopamine,31,CHEM
33,Serotonin,31,CHEM
34,Norepinephrine,31,CHEM
35,Glutamate,31,CHEM
36,GABA,31,CHEM
37,Endorphins,31,CHEM
38,Acetylcholine,31,CHEM
39,Substance P,31,CHEM
40,Hormones and Behavior,10|31,CHEM
41,Adrenaline (Epinephrine),40,CHEM
42,Leptin,40,CHEM
43,Ghrelin,40,CHEM
44,Melatonin,40,CHEM
45,Oxytocin,40,CHEM
46,Psychoactive Drugs,31,CHEM
47,Agonists,46|31,CHEM
48,Antagonists,46|31,CHEM
49,Reuptake Inhibitors,46|29,CHEM
50,Stimulants,46,CHEM
51,Depressants,46,CHEM
52,Hallucinogens,46,CHEM
53,Opioids,46,CHEM
54,Drug Tolerance,46,CHEM
55,Addiction,54,CHEM
56,Withdrawal Symptoms,55,CHEM
57,Brain Stem,10,BIO
58,Medulla Oblongata,57,BIO
59,Reticular Activating System,57,BIO
